times,energy_gauss_wide,energy_gauss_narrow,energy_step
0.0, 0.0, 0.0, 0.0
0.0395, 3.1519439169744406e-13, 2.1440114933026457e-39, 0.0
0.079, 2.8882484179575648e-11, 5.40864017613023e-39, 0.0
0.1185, 1.81550312756964e-10, 8.673268858957817e-39, 0.0
0.158, 5.480292796932095e-10, 8.424702023313027e-34, 0.0
0.1975, 1.2177187400776102e-09, 4.595394060006009e-33, 0.0
0.237, 2.2800180489994477e-09, 8.348317917680716e-33, 0.0
0.2765, 3.824326561548019e-09, 1.21012417753554e-32, 0.0
0.316, 5.940043632812601e-09, 1.5854165633030085e-32, 0.0
0.3555, 8.716568617882485e-09, 1.960708949070477e-32, 0.0
0.395, 1.2243300871846962e-08, 2.3360013348379476e-32, 0.0
0.4345, 1.660963974979531e-08, 2.711293720605416e-32, 0.0
0.474, 2.215048040409165e-08, 3.0865861063728867e-32, 0.0
0.5135, 2.9588490393671897e-08, 3.461878492140355e-32, 0.0
0.553, 3.9186776363652056e-08, 3.837170877907826e-32, 0.0
0.5925, 5.118892367865151e-08, 4.2124632636752954e-32, 0.0
0.632, 6.583851770328966e-08, 4.587755649442765e-32, 0.0
0.6715, 8.337914380218602e-08, 4.963048035210233e-32, 0.0
0.711, 1.0405438733995994e-07, 5.338340420977703e-32, 0.0
0.7505000000000001, 1.281078336812309e-07, 5.713632806745174e-32, 0.0
0.79, 1.557830681906183e-07, 6.088925192512643e-32, 0.0
0.8295, 1.873236762327415e-07, 6.464217578280112e-32, 0.0
0.869, 2.233343287645154e-07, 6.839509964047581e-32, 0.0
0.9085, 2.65354877669767e-07, 7.214802349815051e-32, 0.0
0.948, 3.140137769853359e-07, 7.590094735582519e-32, 0.0
0.9875, 3.698583844149674e-07, 7.96538712134999e-32, 0.0
1.027, 4.334360576624049e-07, 8.340679507117458e-32, 0.0
1.0665, 5.052941544313951e-07, 8.715971892884929e-32, 0.0
1.106, 5.859800324256814e-07, 9.0912642786524e-32, 0.0
1.1455, 6.760410493490085e-07, 9.466556664419866e-32, 0.0
1.185, 7.760245629051229e-07, 9.841849050187336e-32, 0.0
1.2245, 8.864779307977677e-07, 1.0217141435954805e-31, 0.0
1.264, 1.0079485107306897e-06, 1.0592433821722276e-31, 0.0
1.3035, 1.1409836604076323e-06, 1.0967726207489746e-31, 0.0
1.343, 1.28613073753234e-06, 1.1343018593257215e-31, 0.0
1.3825, 1.4439370998085593e-06, 1.1718310979024685e-31, 0.0
1.422, 1.6149501049400334e-06, 1.2093603364792152e-31, 0.0
1.4615, 1.799717110630509e-06, 1.2468895750559622e-31, 0.0
1.5010000000000001, 1.99878547458373e-06, 1.2844188136327093e-31, 0.0
1.5405, 2.21270255450344e-06, 6.702227774916513e-30, 0.0
1.58, 2.4420157080933865e-06, 1.399071891841236e-29, 0.0
1.6195, 2.6874432049361674e-06, 2.1279210061908208e-29, 0.0
1.659, 2.9520480864938867e-06, 2.8567701205404415e-29, 0.0
1.6985000000000001, 3.2374777844754703e-06, 3.5856192348899904e-29, 0.0
1.738, 3.5446240584724307e-06, 4.314468349239575e-29, 0.0
1.7775, 3.874378668076287e-06, 5.043317463589196e-29, 0.0
1.817, 4.227633372878553e-06, 5.772166577938817e-29, 0.0
1.8565, 4.605279932470747e-06, 6.501015692288401e-29, 0.0
1.896, 5.008210106444381e-06, 7.229864806638022e-29, 0.0
1.9355, 5.437315654390976e-06, 7.958713920987571e-29, 0.0
1.975, 5.893488335902049e-06, 8.687563035337156e-29, 0.0
2.0145, 6.377619910569107e-06, 9.416412149686776e-29, 0.0
2.054, 6.890602137983675e-06, 1.014526126403636e-28, 0.0
2.0935, 7.433326777737272e-06, 1.0874110378385982e-28, 0.0
2.133, 8.006685589421401e-06, 1.1602959492735567e-28, 0.0
2.1725, 8.611570332627589e-06, 1.2331808607085151e-28, 0.0
2.212, 9.248872766947357e-06, 1.3060657721434772e-28, 0.0
2.2515, 9.919484651972202e-06, 1.3789506835784357e-28, 0.0
2.291, 1.0624297747293655e-05, 1.4518355950133942e-28, 0.0
2.3305000000000002, 1.1364203812503234e-05, 1.5247205064483562e-28, 0.0
2.37, 1.2140094607192444e-05, 1.5976054178833147e-28, 0.0
2.4095, 1.2954062739058789e-05, 1.6704903293182696e-28, 0.0
2.449, 1.3808626713527268e-05, 1.7433752407532317e-28, 0.0
2.4885, 1.4705088492609735e-05, 1.8162601521881901e-28, 0.0
2.528, 1.564476823707736e-05, 1.8891450636231522e-28, 0.0
2.5675, 1.6629005742447577e-05, 1.9620299750581107e-28, 0.0
2.607, 1.7659160438984087e-05, 2.034914886493069e-28, 0.0
2.6465, 1.8736611391696833e-05, 2.1077997979280276e-28, 0.0
2.686, 1.9862757300342025e-05, 2.1806847093629897e-28, 0.0
2.7255, 2.1039016499422152e-05, 2.253569620797948e-28, 0.0
2.765, 2.2266826958185957e-05, 2.3264545322329067e-28, 0.0
2.8045, 2.3547646280628416e-05, 2.3993394436678687e-28, 0.0
2.844, 2.4882951705490782e-05, 2.472224355102827e-28, 0.0
2.8835, 2.62742401062606e-05, 2.5451092665377857e-28, 0.0
2.923, 2.7723027991171635e-05, 2.6179941779727477e-28, 0.0
2.9625, 2.923085150320391e-05, 2.6908790894077062e-28, 0.0
3.0020000000000002, 3.0799266420083776e-05, 2.7637640008426683e-28, 0.0
3.0415, 3.242984815428372e-05, 2.836648912277623e-28, 0.0
3.081, 3.412419175302262e-05, 2.9095338237125817e-28, 0.0
3.1205, 3.588391189826551e-05, 2.98241873514754e-28, 0.0
3.16, 3.7710642906723806e-05, 3.055303646582502e-28, 0.0
3.1995, 3.960603872985503e-05, 3.1281885580174607e-28, 0.0
3.239, 4.1571772953863084e-05, 3.2010734694524228e-28, 0.0
3.2785, 4.360953879969811e-05, 3.273958380887385e-28, 0.0
3.318, 4.572104912305644e-05, 3.3468432923223397e-28, 0.0
3.3575, 4.790803641438075e-05, 3.4197282037573018e-28, 0.0
3.3970000000000002, 5.017225279885997e-05, 3.4926131151922603e-28, 0.0
3.4365, 5.251547003642923e-05, 3.5654980266272187e-28, 0.0
3.476, 5.493947952176995e-05, 3.638382938062177e-28, 0.0
3.5155, 5.744609228430984e-05, 3.7112678494971357e-28, 0.0
3.555, 6.003713898822287e-05, 3.7841527609320978e-28, 0.0
3.5945, 6.271446993242918e-05, 3.85703767236706e-28, 0.0
3.634, 6.54799550505953e-05, 3.9299225838020183e-28, 0.0
3.6735, 6.833467875572991e-05, 4.002807495236977e-28, 0.0
3.713, 7.127855269652054e-05, 4.075692406671939e-28, 0.0
3.7525, 7.431315324357322e-05, 4.148577318106894e-28, 0.0
3.792, 7.744013818928837e-05, 4.221462229541852e-28, 0.0
3.8315, 8.06611753305164e-05, 4.294347140976814e-28, 0.0
3.871, 8.397794246855758e-05, 4.367232052411773e-28, 0.0
3.9105, 8.739212740916217e-05, 4.440116963846731e-28, 0.0
3.95, 9.090542796253047e-05, 4.513001875281693e-28, 0.0
3.9895, 9.451955194331262e-05, 4.585886786716652e-28, 0.0
4.029, 9.82362171706088e-05, 4.65877169815161e-28, 0.0
4.0685, 0.0001020571514679691, 4.731656609586572e-28, 0.0
4.108, 0.00010598409266339355, 4.804541521021531e-28, 0.0
4.1475, 0.00011001878858933228, 4.877426432456493e-28, 0.0
4.187, 0.00011416299708268524, 4.950311343891451e-28, 0.0
4.2265, 0.00011841848598480221, 5.02319625532641e-28, 0.0
4.266, 0.0001227870331414833, 5.096081166761368e-28, 0.0
4.3055, 0.0001272704264029783, 5.16896607819633e-28, 0.0
4.345, 0.00013187046362398688, 5.241850989631285e-28, 0.0
4.3845, 0.00013658895266365907, 5.314735901066244e-28, 0.0
4.424, 0.00014142771138559438, 5.387620812501206e-28, 0.0
4.4635, 0.0001463885676578425, 5.460505723936164e-28, 0.0
4.503, 0.00015147335935290326, 5.533390635371126e-28, 0.0
4.5425, 0.00015668393434772602, 5.606275546806085e-28, 0.0
4.582, 0.00016202215052371044, 5.679160458241043e-28, 0.0
4.6215, 0.00016748987576670606, 5.752045369676005e-28, 0.0
4.6610000000000005, 0.0001730889879670124, 5.824930281110964e-28, 0.0
4.7005, 0.00017882137501937858, 5.897815192545922e-28, 0.0
4.74, 0.00018468893482300442, 5.970700103980884e-28, 0.0
4.7795, 0.00019069357528153885, 6.043585015415839e-28, 0.0
4.819, 0.00019683721430308157, 6.116469926850798e-28, 0.0
4.8585, 0.00020312177980018166, 6.18935483828576e-28, 0.0
4.898, 0.0002095492096898381, 6.262239749720718e-28, 0.0
4.9375, 0.00021612106425134442, 6.33512466115568e-28, 0.0
4.977, 0.00022283742778135982, 6.408009572590639e-28, 0.0
5.0165, 0.00022969982698037178, 6.480894484025601e-28, 0.0
5.056, 0.00023671000675971987, 6.553779395460563e-28, 0.0
5.0955, 0.00024386971523507176, 6.6266643068955215e-28, 0.0
5.135, 0.00025118070372642397, 6.699549218330476e-28, 0.0
5.1745, 0.0002586447267581021, 6.772434129765435e-28, 0.0
5.214, 0.0002662635420587599, 6.845319041200397e-28, 0.0
5.2535, 0.00027403891056138, 6.918203952635355e-28, 0.0
5.293, 0.0002819725964032738, 6.991088864070314e-28, 0.0
5.3325000000000005, 0.0002900663669260813, 7.063973775505276e-28, 0.0
5.372, 0.0002983219926757711, 7.136858686940234e-28, 0.0
5.4115, 0.0003067412474026409, 7.2097435983751965e-28, 0.0
5.451, 0.0003153259080613163, 7.282628509810155e-28, 0.0
5.4905, 0.00032407775481075235, 7.355513421245113e-28, 0.0
5.53, 0.0003329985710142326, 7.4283983326800755e-28, 0.0
5.5695, 0.0003420901432393685, 7.50128324411503e-28, 0.0
