times,energy_gauss_wide,energy_gauss_narrow,energy_step
0.0, 0.0, 0.0, 0.0
0.0395, 3.0076249723886626e-17, 2.1440114933026463e-43, 0.0
0.079, 1.9432688031752836e-16, 5.4086401761302325e-43, 0.0
0.1185, 5.015832368351806e-16, 8.673268858957822e-43, 0.0
0.158, 9.198123442396419e-15, 8.424702023312702e-38, 0.0
0.1975, 8.621048711076484e-14, 4.595394060005985e-37, 0.0
0.237, 2.4349721428732195e-13, 8.3483179176807e-37, 0.0
0.2765, 4.810583049720742e-13, 1.2101241775355376e-36, 0.0
0.316, 7.988937591650087e-13, 1.5854165633030077e-36, 0.0
0.3555, 1.1970035768661383e-12, 1.9607089490704766e-36, 0.0
0.395, 1.6753877580754567e-12, 2.3360013348379468e-36, 0.0
0.4345, 2.2340463027929637e-12, 2.7112937206054143e-36, 0.0
0.474, 2.8729792110186594e-12, 3.086586106372886e-36, 0.0
0.5135, 3.5921864827525437e-12, 3.4618784921403546e-36, 0.0
0.553, 4.391668117994623e-12, 3.837170877907825e-36, 0.0
0.5925, 5.2714241167448915e-12, 4.212463263675295e-36, 0.0
0.632, 6.231454479003342e-12, 4.587755649442764e-36, 0.0
0.6715, 7.271759204769994e-12, 4.963048035210233e-36, 0.0
0.711, 8.392338294044815e-12, 5.338340420977703e-36, 0.0
0.7505000000000001, 9.593191746827851e-12, 5.713632806745173e-36, 0.0
0.79, 1.0874319563119063e-11, 6.088925192512643e-36, 0.0
0.8295, 1.2235721742918463e-11, 6.464217578280111e-36, 0.0
0.869, 1.3677398286226056e-11, 6.839509964047581e-36, 0.0
0.9085, 1.5199349193041836e-11, 7.214802349815051e-36, 0.0
0.948, 1.680157446336581e-11, 7.59009473558252e-36, 0.0
0.9875, 1.8484074097197974e-11, 7.96538712134999e-36, 0.0
1.027, 2.0246848094538324e-11, 8.340679507117458e-36, 0.0
1.0665, 2.2089896455386863e-11, 8.715971892884929e-36, 0.0
1.106, 2.4013219179743604e-11, 9.091264278652399e-36, 0.0
1.1455, 2.6016816267608517e-11, 9.466556664419867e-36, 0.0
1.185, 2.810068771898163e-11, 9.841849050187338e-36, 0.0
1.2245, 3.026483353386292e-11, 1.0217141435954806e-35, 0.0
1.264, 3.250925371225242e-11, 1.0592433821722276e-35, 0.0
1.3035, 3.48339482541501e-11, 1.0967726207489746e-35, 0.0
1.343, 3.723891715955596e-11, 1.1343018593257215e-35, 0.0
1.3825, 3.972416042847003e-11, 1.1718310979024685e-35, 0.0
1.422, 4.2615503207743605e-11, 1.2093603364792154e-35, 0.0
1.4615, 4.7890562055149815e-11, 1.2468895750559623e-35, 0.0
1.5010000000000001, 5.601480477486291e-11, 1.2844188136327094e-35, 0.0
1.5405, 6.714664268569999e-11, 6.702227777497955e-34, 0.0
1.58, 8.144448710640531e-11, 1.3990718923856115e-33, 0.0
1.6195, 9.906674935574305e-11, 2.1279210070214275e-33, 0.0
1.659, 1.2017184075249718e-10, 2.8567701216572434e-33, 0.0
1.6985000000000001, 1.4491817261543849e-10, 3.5856192362930594e-33, 0.0
1.738, 1.7346415626334433e-10, 4.3144683509288754e-33, 0.0
1.7775, 2.059682030149656e-10, 5.0433174655646913e-33, 0.0
1.817, 2.425887241890996e-10, 5.772166580200507e-33, 0.0
1.8565, 2.834841311044905e-10, 6.501015694836323e-33, 0.0
1.896, 3.2881283507991577e-10, 7.229864809472183e-33, 0.0
1.9355, 3.7873324743415935e-10, 7.958713924107955e-33, 0.0
1.975, 4.334037794859855e-10, 8.687563038743771e-33, 0.0
2.0145, 4.929828425541516e-10, 9.416412153379631e-33, 0.0
2.054, 5.576288479574549e-10, 1.0145261268015447e-32, 0.0
2.0935, 6.27500207014653e-10, 1.0874110382651263e-32, 0.0
2.133, 7.027553310445101e-10, 1.1602959497287079e-32, 0.0
2.1725, 7.835526313658033e-10, 1.2331808611922895e-32, 0.0
2.212, 8.700505192973036e-10, 1.306065772655871e-32, 0.0
2.2515, 9.624074061577819e-10, 1.3789506841194527e-32, 0.0
2.291, 1.060781703266002e-09, 1.4518355955830343e-32, 0.0
