times,energy_gauss_wide,energy_gauss_narrow,energy_step
0.0, 0.0, 0.0, 0.0
0.0395, 2.988048379066491e-17, 2.1440114933026463e-43, 0.0
0.079, 1.930620074067849e-16, 5.4086401761302325e-43, 0.0
0.1185, 4.983184325773165e-16, 8.673268858957822e-43, 0.0
0.158, 2.462238701635472e-14, 8.424702023312702e-38, 0.0
0.1975, 2.2720558094060885e-13, 4.595394060005985e-37, 0.0
0.237, 6.362381863421424e-13, 8.3483179176807e-37, 0.0
0.2765, 1.2517202032209587e-12, 1.2101241775355376e-36, 0.0
0.316, 2.073651631577048e-12, 1.5854165633030077e-36, 0.0
0.3555, 3.1020324714104227e-12, 1.9607089490704766e-36, 0.0
0.395, 4.33686272272108e-12, 2.3360013348379468e-36, 0.0
0.4345, 5.778142385509008e-12, 2.7112937206054143e-36, 0.0
0.474, 7.425871459774218e-12, 3.086586106372886e-36, 0.0
0.5135, 9.280049945516708e-12, 3.4618784921403546e-36, 0.0
0.553, 1.1340677842736485e-11, 3.837170877907825e-36, 0.0
0.5925, 1.3607755151433535e-11, 4.212463263675295e-36, 0.0
0.632, 1.6081281871607863e-11, 4.587755649442764e-36, 0.0
0.6715, 1.876125800325947e-11, 4.963048035210233e-36, 0.0
0.711, 2.164768354638836e-11, 5.338340420977703e-36, 0.0
0.7505000000000001, 2.4740558500994535e-11, 5.713632806745173e-36, 0.0
0.79, 2.8142792222241502e-11, 6.088925192512643e-36, 0.0
0.8295, 3.206854193110898e-11, 6.464217578280111e-36, 0.0
0.869, 3.655926387428264e-11, 6.839509964047581e-36, 0.0
0.9085, 4.1652098868998433e-11, 7.214802349815051e-36, 0.0
0.948, 4.7384187732492235e-11, 7.59009473558252e-36, 0.0
0.9875, 5.379267128200032e-11, 7.96538712134999e-36, 0.0
1.027, 6.091469033475849e-11, 8.340679507117458e-36, 0.0
1.0665, 6.878738570800287e-11, 8.715971892884929e-36, 0.0
1.106, 7.744789821896948e-11, 9.091264278652399e-36, 0.0
1.1455, 8.693336868489432e-11, 9.466556664419867e-36, 0.0
1.185, 9.728093792301343e-11, 9.841849050187338e-36, 0.0
1.2245, 1.085277467505627e-10, 1.0217141435954806e-35, 0.0
1.264, 1.207109359847784e-10, 1.0592433821722276e-35, 0.0
1.3035, 1.3386764644289633e-10, 1.0967726207489746e-35, 0.0
1.343, 1.4803501894215253e-10, 1.1343018593257215e-35, 0.0
1.3825, 1.6325019429978318e-10, 1.1718310979024685e-35, 0.0
1.422, 1.7955031333302409e-10, 1.2093603364792154e-35, 0.0
1.4615, 1.9697251685911146e-10, 1.2468895750559623e-35, 0.0
1.5010000000000001, 2.1555394569528125e-10, 1.2844188136327094e-35, 0.0
1.5405, 2.3533174065876933e-10, 6.702227516772363e-34, 0.0
