times,energy_gauss_wide,energy_gauss_narrow,energy_step
0.0, 0.0, 0.0, 0.0
0.0395, 3.1519439169744507e-13, 2.1440114933026457e-39, 0.0
0.079, 5.778532136669908e-12, 5.40864017613023e-39, 0.0
0.1185, 3.159233962349997e-11, 8.673268858957817e-39, 0.0
0.158, 9.198148071390284e-11, 8.424702023313027e-34, 0.0
0.1975, 2.0112146712639594e-10, 4.595394060006009e-33, 0.0
0.237, 3.7318781057949373e-10, 8.348317917680716e-33, 0.0
0.2765, 6.223560227917136e-10, 1.21012417753554e-32, 0.0
0.316, 9.62801615481569e-10, 1.5854165633030085e-32, 0.0
0.3555, 1.4087001003675763e-09, 1.960708949070477e-32, 0.0
0.395, 1.974226989168252e-09, 2.3360013348379476e-32, 0.0
0.4345, 2.67355779360211e-09, 2.711293720605416e-32, 0.0
0.474, 4.011541188602365e-09, 3.0865861063728867e-32, 0.0
0.5135, 7.268067684653593e-09, 3.461878492140355e-32, 0.0
0.553, 1.280450205869592e-08, 3.837170877907826e-32, 0.0
0.5925, 2.0943191847628837e-08, 4.2124632636752954e-32, 0.0
0.632, 3.200648458835186e-08, 4.587755649442765e-32, 0.0
0.6715, 4.6316727817764583e-08, 4.963048035210233e-32, 0.0
0.711, 6.419626907276651e-08, 5.338340420977703e-32, 0.0
0.7505000000000001, 8.596745589025724e-08, 5.713632806745174e-32, 0.0
0.79, 1.119526358071362e-07, 6.088925192512643e-32, 0.0
0.8295, 1.4247415636030298e-07, 6.464217578280112e-32, 0.0
0.869, 1.781033001084216e-07, 6.839509964047581e-32, 0.0
0.9085, 2.200560701123389e-07, 7.214802349815051e-32, 0.0
0.948, 2.6892014515821924e-07, 7.590094735582519e-32, 0.0
0.9875, 3.252272956330169e-07, 7.96538712134999e-32, 0.0
1.027, 3.895092919236841e-07, 8.340679507117458e-32, 0.0
1.0665, 4.622979044171739e-07, 8.715971892884929e-32, 0.0
1.106, 5.441249035004404e-07, 9.0912642786524e-32, 0.0
1.1455, 6.35522059560435e-07, 9.466556664419866e-32, 0.0
1.185, 7.370211429841126e-07, 9.841849050187336e-32, 0.0
1.2245, 8.491539241584244e-07, 1.0217141435954805e-31, 0.0
1.264, 9.724521734703257e-07, 1.0592433821722276e-31, 0.0
1.3035, 1.1074476613067688e-06, 1.0967726207489746e-31, 0.0
1.343, 1.254672158054705e-06, 1.1343018593257215e-31, 0.0
1.3825, 1.4146574341010906e-06, 1.1718310979024685e-31, 0.0
1.422, 1.5879352598328756e-06, 1.2093603364792152e-31, 0.0
1.4615, 1.7750374056370156e-06, 1.2468895750559622e-31, 0.0
1.5010000000000001, 1.9764956419004627e-06, 1.2844188136327093e-31, 0.0
1.5405, 2.192841739010169e-06, 6.702227777497951e-30, 0.0
1.58, 2.424607467353089e-06, 1.3990718923856125e-29, 0.0
1.6195, 2.672328486069933e-06, 2.1279210070214298e-29, 0.0
1.659, 2.9386209866493213e-06, 2.856770121657247e-29, 0.0
1.6985000000000001, 3.226024431731245e-06, 3.5856192362930646e-29, 0.0
1.738, 3.5354478059921514e-06, 4.314468350928846e-29, 0.0
1.7775, 3.8678000941085026e-06, 5.0433174655646993e-29, 0.0
1.817, 4.223990280756741e-06, 5.772166580200517e-29, 0.0
1.8565, 4.604927350613326e-06, 6.501015694836334e-29, 0.0
1.896, 5.011520288354704e-06, 7.229864809472187e-29, 0.0
1.9355, 5.444678078657331e-06, 7.958713924107969e-29, 0.0
1.975, 5.9053097061976554e-06, 8.687563038743786e-29, 0.0
2.0145, 6.394324155652131e-06, 9.41641215337964e-29, 0.0
2.054, 6.912630411697206e-06, 1.0145261268015457e-28, 0.0
2.0935, 7.461137459009344e-06, 1.0874110382651274e-28, 0.0
2.133, 8.040754282264982e-06, 1.1602959497287092e-28, 0.0
2.1725, 8.652389866140576e-06, 1.233180861192291e-28, 0.0
2.212, 9.296953195312588e-06, 1.3060657726558726e-28, 0.0
2.2515, 9.975353254457458e-06, 1.3789506841194544e-28, 0.0
2.291, 1.0688499028251639e-05, 1.451835595583036e-28, 0.0
2.3305000000000002, 1.1437299501371595e-05, 1.5247205070466214e-28, 0.0
2.37, 1.2222663658493762e-05, 1.5976054185102032e-28, 0.0
2.4095, 1.3045882802867546e-05, 1.6704903299737813e-28, 0.0
2.449, 1.3911231028981606e-05, 1.7433752414373666e-28, 0.0
2.4885, 1.4820755172151653e-05, 1.8162601529009484e-28, 0.0
2.528, 1.5775799119298854e-05, 1.8891450643645301e-28, 0.0
2.5675, 1.677770675734442e-05, 1.9620299758281119e-28, 0.0
2.607, 1.782782197320954e-05, 2.0349148872916936e-28, 0.0
2.6465, 1.892748865381539e-05, 2.1077997987552717e-28, 0.0
2.686, 2.0078050686083175e-05, 2.180684710218857e-28, 0.0
2.7255, 2.128085195693408e-05, 2.253569621682439e-28, 0.0
2.765, 2.2537236353289308e-05, 2.3264545331460205e-28, 0.0
2.8045, 2.3848547762070026e-05, 2.399339444609606e-28, 0.0
2.844, 2.5216130070197445e-05, 2.472224356073184e-28, 0.0
2.8835, 2.6641327164592768e-05, 2.5451092675367658e-28, 0.0
2.923, 2.8125482932177147e-05, 2.617994179000351e-28, 0.0
2.9625, 2.9669941259871793e-05, 2.690879090463933e-28, 0.0
3.0020000000000002, 3.127604603459792e-05, 2.7637640019275146e-28, 0.0
3.0415, 3.2945141143276676e-05, 2.8366489133910963e-28, 0.0
3.081, 3.4678570472829277e-05, 2.9095338248546744e-28, 0.0
3.1205, 3.6477677910176904e-05, 2.982418736318256e-28, 0.0
3.16, 3.834380734224078e-05, 3.0553036477818415e-28, 0.0
3.1995, 4.027912100936148e-05, 3.1281885592454232e-28, 0.0
3.239, 4.228681888717346e-05, 3.2010734707090086e-28, 0.0
3.2785, 4.436855470895891e-05, 3.2739583821725903e-28, 0.0
3.318, 4.652592946062611e-05, 3.3468432936361684e-28, 0.0
3.3575, 4.87605441280834e-05, 3.4197282050997538e-28, 0.0
3.3970000000000002, 5.107399969723911e-05, 3.4926131165633355e-28, 0.0
3.4365, 5.346789715400153e-05, 3.5654980280269172e-28, 0.0
3.476, 5.5943837484278984e-05, 3.638382939490499e-28, 0.0
3.5155, 5.850342167397981e-05, 3.711267850954077e-28, 0.0
3.555, 6.114825070901234e-05, 3.784152762417659e-28, 0.0
3.5945, 6.387992557528485e-05, 3.857037673881244e-28, 0.0
3.634, 6.670004725870568e-05, 3.929922585344826e-28, 0.0
3.6735, 6.961021674518317e-05, 4.0028074968084077e-28, 0.0
3.713, 7.261203502062559e-05, 4.075692408271993e-28, 0.0
3.7525, 7.570710307094131e-05, 4.148577319735571e-28, 0.0
3.792, 7.889702188203861e-05, 4.221462231199153e-28, 0.0
3.8315, 8.218339243982587e-05, 4.294347142662738e-28, 0.0
3.871, 8.556781573021133e-05, 4.36723205412632e-28, 0.0
3.9105, 8.905189273910337e-05, 4.440116965589898e-28, 0.0
3.95, 9.263724186261987e-05, 4.513001877053483e-28, 0.0
3.9895, 9.632628511522386e-05, 4.585886788517062e-28, 0.0
4.029, 0.00010012121211170083, 4.658771699980643e-28, 0.0
4.0685, 0.00010402382363268747, 4.731656611444229e-28, 0.0
4.108, 0.00010803592984114759, 4.80454152290781e-28, 0.0
4.1475, 0.00011215935028237237, 4.877426434371396e-28, 0.0
4.187, 0.00011639591388397968, 4.950311345834977e-28, 0.0
4.2265, 0.0001207474589559146, 5.023196257298556e-28, 0.0
4.266, 0.0001252158331904497, 5.096081168762141e-28, 0.0
4.3055, 0.0001298028936621841, 5.168966080225723e-28, 0.0
4.345, 0.00013451050682804423, 5.241850991689301e-28, 0.0
4.3845, 0.00013934054852728393, 5.3147359031528825e-28, 0.0
4.424, 0.00014429490398148363, 5.387620814616464e-28, 0.0
4.4635, 0.00014937546779455113, 5.460505726080046e-28, 0.0
4.503, 0.0001545841439527214, 5.533390637543631e-28, 0.0
4.5425, 0.0001599228458245563, 5.606275549007213e-28, 0.0
4.582, 0.0001653934961609449, 5.679160460470795e-28, 0.0
4.6215, 0.00017099802709510354, 5.75204537193438e-28, 0.0
4.6610000000000005, 0.0001767383801425753, 5.824930283397962e-28, 0.0
4.7005, 0.0001826165062012306, 5.89781519486154e-28, 0.0
4.74, 0.00018863436555126693, 5.970700106325125e-28, 0.0
4.7795, 0.00019479392785520878, 6.0435850177887035e-28, 0.0
4.819, 0.00020109717215790804, 6.116469929252285e-28, 0.0
4.8585, 0.00020754608688654328, 6.189354840715867e-28, 0.0
4.898, 0.0002141426698506204, 6.262239752179449e-28, 0.0
4.9375, 0.00022088892824197247, 6.33512466364303e-28, 0.0
4.977, 0.00022778687863475952, 6.408009575106616e-28, 0.0
5.0165, 0.00023483854698546857, 6.4808944865701975e-28, 0.0
5.056, 0.00024204596863291417, 6.553779398033783e-28, 0.0
5.0955, 0.0002494111882982375, 6.626664309497365e-28, 0.0
5.135, 0.000256936260084907, 6.699549220960943e-28, 0.0
5.1745, 0.0002646232474787186, 6.7724341324245244e-28, 0.0
5.214, 0.00027247422334779467, 6.84531904388811e-28, 0.0
5.2535, 0.0002804912699425848, 6.918203955351688e-28, 0.0
5.293, 0.00028867531330728366, 6.99108886681527e-28, 0.0
5.3325000000000005, 0.0002970267260055077, 7.063973778278851e-28, 0.0
5.372, 0.0003055473372716853, 7.136858689742433e-28, 0.0
5.4115, 0.0003142389845605105, 7.2097436012060185e-28, 0.0
5.451, 0.0003231035056394684, 7.2826285126696e-28, 0.0
5.4905, 0.00033214273858883647, 7.355513424133182e-28, 0.0
