times,energy_gauss_wide,energy_gauss_narrow,energy_step
0.0, 0.0, 0.0, 0.0
0.0395, 3.151943916973545e-13, 2.1440114933026457e-39, 0.0
0.079, 2.0008148453134956e-11, 5.40864017613023e-39, 0.0
0.1185, 1.2395075593781452e-10, 8.673268858957817e-39, 0.0
0.158, 3.728591932972357e-10, 8.424702023313027e-34, 0.0
0.1975, 8.272389865707777e-10, 4.595394060006009e-33, 0.0
0.237, 1.54759566179782e-09, 8.348317917680716e-33, 0.0
0.2765, 2.5944347450177443e-09, 1.21012417753554e-32, 0.0
0.316, 4.14465962272611e-09, 1.5854165633030085e-32, 0.0
0.3555, 6.487433439555838e-09, 1.960708949070477e-32, 0.0
0.395, 9.774098245023176e-09, 2.3360013348379476e-32, 0.0
0.4345, 1.4154409521154648e-08, 2.711293720605416e-32, 0.0
0.474, 1.977812274997678e-08, 3.0865861063728867e-32, 0.0
0.5135, 2.6794993413516112e-08, 3.461878492140355e-32, 0.0
0.553, 3.550708760359312e-08, 3.837170877907826e-32, 0.0
0.5925, 4.635197771804163e-08, 4.2124632636752954e-32, 0.0
0.632, 5.95943445613316e-08, 4.587755649442765e-32, 0.0
0.6715, 7.549729483546667e-08, 4.963048035210233e-32, 0.0
0.711, 9.432393524245036e-08, 5.338340420977703e-32, 0.0
0.7505000000000001, 1.1633737248428641e-07, 5.713632806745174e-32, 0.0
0.79, 1.4192213865723511e-07, 6.088925192512643e-32, 0.0
0.8295, 1.7156203373761103e-07, 6.464217578280112e-32, 0.0
0.869, 2.0560882659847306e-07, 6.839509964047581e-32, 0.0
0.9085, 2.4441336724212197e-07, 7.214802349815051e-32, 0.0
0.948, 2.883265056708586e-07, 7.590094735582519e-32, 0.0
0.9875, 3.376990918869838e-07, 7.96538712134999e-32, 0.0
1.027, 3.9297238164834513e-07, 8.340679507117458e-32, 0.0
1.0665, 4.5465524247785255e-07, 8.715971892884929e-32, 0.0
1.106, 5.231624594949357e-07, 9.0912642786524e-32, 0.0
1.1455, 5.989083396886652e-07, 9.466556664419866e-32, 0.0
1.185, 6.823071900481136e-07, 9.841849050187336e-32, 0.0
1.2245, 7.737733175623511e-07, 1.0217141435954805e-31, 0.0
1.264, 8.737205310017659e-07, 1.0592433821722276e-31, 0.0
1.3035, 9.825623000520753e-07, 1.0967726207489746e-31, 0.0
1.343, 1.1007125901578861e-06, 1.1343018593257215e-31, 0.0
1.3825, 1.228585368488873e-06, 1.1718310979024685e-31, 0.0
1.422, 1.3665946022147066e-06, 1.2093603364792152e-31, 0.0
1.4615, 1.5151542585050603e-06, 1.2468895750559622e-31, 0.0
1.5010000000000001, 1.6746704170424804e-06, 1.2844188136327093e-31, 0.0
1.5405, 1.845544302142045e-06, 6.702227516772314e-30, 0.0
1.58, 2.02818463510965e-06, 1.399071837404275e-29, 0.0
1.6195, 2.223000153460231e-06, 2.1279209231313184e-29, 0.0
1.659, 2.430399594708731e-06, 2.856770008858398e-29, 0.0
1.6985000000000001, 2.6507916963700853e-06, 3.5856190945854054e-29, 0.0
1.738, 2.8844280901668154e-06, 4.314468180312449e-29, 0.0
1.7775, 3.1314735729719172e-06, 5.0433172660395283e-29, 0.0
1.817, 3.3922354241937093e-06, 5.772166351766572e-29, 0.0
1.8565, 3.667021085913546e-06, 6.501015437493615e-29, 0.0
1.896, 3.956138000212777e-06, 7.229864523220659e-29, 0.0
1.9355, 4.259893609172757e-06, 7.958713608947666e-29, 0.0
1.975, 4.57835168257716e-06, 8.68756269467471e-29, 0.0
2.0145, 4.911456126657958e-06, 9.416411780401789e-29, 0.0
2.054, 5.259361458050689e-06, 1.0145260866128833e-28, 0.0
2.0935, 5.622222284777416e-06, 1.0874109951855912e-28, 0.0
2.133, 6.000193214860193e-06, 1.160295903758292e-28, 0.0
2.1725, 6.393428856321089e-06, 1.2331808123309963e-28, 0.0
2.212, 6.801877897097331e-06, 1.3060657209037007e-28, 0.0
2.2515, 7.22539985138644e-06, 1.378950629476405e-28, 0.0
2.291, 7.664023634014826e-06, 1.4518355380491094e-28, 0.0
2.3305000000000002, 8.117778169562806e-06, 1.5247204466218173e-28, 0.0
2.37, 8.586692382610678e-06, 1.5976053551945217e-28, 0.0
2.4095, 9.070795191220037e-06, 1.6704902637672224e-28, 0.0
2.449, 9.56986899100526e-06, 1.7433751723399304e-28, 0.0
2.4885, 1.00835446935267e-05, 1.8162600809126347e-28, 0.0
2.528, 1.0611590994048615e-05, 1.889144989485339e-28, 0.0
2.5675, 1.1153741857235617e-05, 1.9620298980580434e-28, 0.0
2.607, 1.170969651715264e-05, 2.034914806630744e-28, 0.0
2.6465, 1.2279119477264932e-05, 2.1077997152034485e-28, 0.0
2.686, 1.2861640510438092e-05, 2.1806846237761565e-28, 0.0
2.7255, 1.3456854658938027e-05, 2.253569532348861e-28, 0.0
2.765, 1.4064322234430987e-05, 2.326454440921565e-28, 0.0
2.8045, 1.4683568817983541e-05, 2.399339349494273e-28, 0.0
2.844, 1.5314150118637325e-05, 2.472224258066974e-28, 0.0
2.8835, 1.5955621580975864e-05, 2.5451091666396782e-28, 0.0
2.923, 1.6607451214603985e-05, 2.6179940752123826e-28, 0.0
2.9625, 1.7269076850061935e-05, 2.690878983785087e-28, 0.0
3.0020000000000002, 1.7939906173314146e-05, 2.763763892357795e-28, 0.0
3.0415, 1.8619316725749183e-05, 2.8366488009304956e-28, 0.0
3.081, 1.9306655904179807e-05, 2.9095337095032e-28, 0.0
3.1205, 2.000124096084295e-05, 2.9824186180759043e-28, 0.0
3.16, 2.0702359003399738e-05, 3.0553035266486123e-28, 0.0
3.1995, 2.1409266994935412e-05, 3.1281884352213166e-28, 0.0
3.239, 2.2121183191889135e-05, 3.201073343794021e-28, 0.0
3.2785, 2.283729023168449e-05, 3.2739582523667253e-28, 0.0
3.318, 2.3556748658786663e-05, 3.346843160939426e-28, 0.0
3.3575, 2.4278688378100233e-05, 3.419728069512134e-28, 0.0
3.3970000000000002, 2.5002208630577704e-05, 3.4926129780848384e-28, 0.0
3.4365, 2.5726377993219374e-05, 3.5654978866575427e-28, 0.0
3.476, 2.6450234379073505e-05, 3.638382795230247e-28, 0.0
3.5155, 2.71727850372362e-05, 3.7112677038029514e-28, 0.0
3.555, 2.7893006552851495e-05, 3.784152612375656e-28, 0.0
3.5945, 2.860984484711123e-05, 3.85703752094836e-28, 0.0
3.634, 2.9322449336412392e-05, 3.9299224295210645e-28, 0.0
3.6735, 3.0030124603009655e-05, 4.002807338093769e-28, 0.0
3.713, 3.07318999294639e-05, 4.075692246666477e-28, 0.0
3.7525, 3.1426787390921175e-05, 4.1485771552391775e-28, 0.0
3.792, 3.211378356775614e-05, 4.221462063811882e-28, 0.0
3.8315, 3.279186954557228e-05, 4.29434697238459e-28, 0.0
3.871, 3.3460010915201585e-05, 4.367231880957294e-28, 0.0
3.9105, 3.411715777270483e-05, 4.440116789529995e-28, 0.0
3.95, 3.476224471937146e-05, 4.513001698102699e-28, 0.0
3.9895, 3.5394190861719584e-05, 4.585886606675404e-28, 0.0
4.029, 3.601212775809315e-05, 4.658771515248108e-28, 0.0
4.0685, 3.661539047683363e-05, 4.731656423820816e-28, 0.0
4.108, 3.720303533588958e-05, 4.80454133239352e-28, 0.0
4.1475, 3.777411568989064e-05, 4.877426240966228e-28, 0.0
4.187, 3.832768520104377e-05, 4.950311149538933e-28, 0.0
4.2265, 3.886279783913342e-05, 5.023196058111633e-28, 0.0
4.266, 3.937850788152157e-05, 5.096080966684338e-28, 0.0
4.3055, 3.987386991314758e-05, 5.168965875257042e-28, 0.0
4.345, 4.034793882652827e-05, 5.241850783829743e-28, 0.0
4.3845, 4.0799769821758e-05, 5.314735692402447e-28, 0.0
4.424, 4.122859519938996e-05, 5.387620600975155e-28, 0.0
